path,verdict,informative_pct,raw_pct,informative_bytes,matched,still_clean,conflict,vacuous,total_bytes,out_of_range,expanded_area,alignment_delta,uninstall_patch,md5,duplicate_of_paths
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\ff5_drag_to_nullstatus_self.ips",PARTIAL,35.7%,43.8%,14,5,1,8,2,16,0,0,0,,b39733dc08796dc3b00716ae291582b2,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::ff5_drag_to_nullstatus_self.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\ff5_optional_rename_lv_up.ips",ABSENT,0.0%,0.0%,5,0,1,4,0,5,0,0,0,,ea82175f1c5b15272c4985f99097a31d,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_lv_up.ips; backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_lv_up.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_boost.ips",ABSENT,0.0%,0.0%,5,0,1,4,0,5,0,0,0,,d56e9385c450d876460149e6ac87ce32,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_boost.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_chrge.ips",PARTIAL,50.0%,60.0%,4,2,0,2,1,5,0,0,0,,7bc68cbbeda3aded8665a3fd5bc2f404,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_chrge.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_focus.ips",ABSENT,0.0%,0.0%,5,0,1,4,0,5,0,0,0,,b49d665fd78ad3559994d616b88e2b6d,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_focus.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_level.ips",ABSENT,0.0%,0.0%,5,0,1,4,0,5,0,0,0,,98c8ebf4dea2c65b7f362dac1f6ac9aa,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_level.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_mp_up.ips",ABSENT,0.0%,0.0%,5,0,1,4,0,5,0,0,0,,fa5cf7301ad173585882ed4b93b28832,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_mp_up.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_null.ips",PARTIAL,25.0%,40.0%,4,1,1,2,1,5,0,0,0,,b710535eb4ed40169a15d421dd4d9faa,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_null.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_null_squish.ips",PARTIAL,25.0%,40.0%,4,1,1,2,1,5,0,0,0,,d5868f67309638116d55c7bd65035d6f,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_null_squish.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_nullify_squish.ips",PARTIAL,20.0%,20.0%,5,1,1,3,0,5,0,0,0,,52985ba86779729aa66df36e379a1660,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_nullify_squish.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_speed.ips",PARTIAL,20.0%,20.0%,5,1,1,3,0,5,0,0,0,,ca01990c0e334494bfe5d821866c50c1,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_speed.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\Optional Rename Patches\ff5_optional_rename_surge.ips",APPLIED,100.0%,100.0%,4,4,0,0,1,5,0,0,0,,d161f191d11aa277e3c53a3269e68290,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::Optional Rename Patches/ff5_optional_rename_surge.ips"
"backups, other ppls patches\[7573]Final+Fantasy+V+Easy+Learning\Auto Learning.ips",ABSENT,0.0%,0.0%,8,0,4,4,0,8,0,0,0,,d2f547d2d1420f79df96f8f7e04b828f,
"backups, other ppls patches\[7573]Final+Fantasy+V+Easy+Learning\Easy Learning.ips",ABSENT,0.0%,10.9%,82,0,78,4,10,92,0,0,0,,c438227a05dec81c79277b31cebdc88c,
"backups, other ppls patches\[8749](FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax)\ff5_dbl_xp_gold_abp_headered.ips",ABSENT,0.0%,0.0%,60,0,39,21,0,60,0,0,0,,2bbab51f193b7cf479f49d482bf52547,"backups, other ppls patches\[5665]ff5_dbl_xp_gold_abp.zip::ff5_dbl_xp_gold_abp_headered.ips; backups, other ppls patches\[8749](FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax)\[5665]ff5_dbl_xp_gold_abp.zip::ff5_dbl_xp_gold_abp_headered.ips"
"backups, other ppls patches\[8749](FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax)\ff5_dbl_xp_gold_abp_unheadered.ips",ABSENT,0.0%,1.7%,59,0,59,0,1,60,0,0,-512,,f984049da29b1c99f114018f6000dd7d,"backups, other ppls patches\[5665]ff5_dbl_xp_gold_abp.zip::ff5_dbl_xp_gold_abp_unheadered.ips; backups, other ppls patches\[8749](FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax)\[5665]ff5_dbl_xp_gold_abp.zip::ff5_dbl_xp_gold_abp_unheadered.ips"
"backups, other ppls patches\[8749](FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax)\Final Fantasy V (Japan) [En by RPGe v1.1] (FF5 Double EXP, Gold and ABP 1.0 by C_CliFF) (bugfixes 1.1 by clymax).ips",ABSENT,0.0%,7.7%,48,0,48,0,4,52,0,0,0,,4b5bfab8657df3ae9cfad9f17198b547,"backups, other ppls patches\[8749](FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax)\[8749]Final+Fantasy+V+(Japan)+[En+by+RPGe+v1.1]+(FF5+Double+EXP,+Gold+and+ABP+1.0+by+C_CliFF)+(bugfixes+1.1+by+clymax).zip::Final Fantasy V (Japan) [En by RPGe v1.1] (FF5 Double EXP, Gold and ABP 1.0 by C_CliFF) (bugfixes 1.1 by clymax).ips"
"backups, other ppls patches\FF5 Map Always Available (by Tzepish).ips",ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,518c508b390e3518c68eec79330ee7e7,
"backups, other ppls patches\ff5_msu1_translation_v2 kurrono.ips",APPLIED,100.0%,100.0%,450,450,0,0,1,451,0,0,0,,bb34f762b15e017409a6ce2f73cea01b,
"backups, other ppls patches\FFV [T+Spa1_06f_noisecross] interesting icons\Final Fantasy V (J) [T+Spa1.06f_noisecross][CRC32_4BADF779].ips",ABSENT,3.3%,65.4%,200829,6643,38008,156178,360374,561203,0,0,0,,56fc3a1a2987d3f62101ff2f429be11f,
"backups, other ppls patches\FFV L+R Leader Swap by Cubear.ips",PARTIAL,8.8%,15.1%,500,44,31,425,37,537,0,519,0,,ffd5109986c6bb9be9766117785b4c90,
"backups, other ppls patches\lrleader - Cubear.ips",APPLIED,99.3%,99.4%,613,609,0,4,48,661,0,636,0,,2ad1ada6c622e636845e271cac1906c9,
"backups, other ppls patches\MrShutCo-bettershop-wip\FF5 Better Shop depatcher.ips",ABSENT,0.0%,99.3%,4,0,0,4,595,599,0,0,0,,60a81544350ff7daad41a9be6482d4c0,
"backups, other ppls patches\start encounters - Cubear.ips",PARTIAL,95.1%,95.3%,82,78,0,4,3,85,0,68,0,,e353e9fc59d58ef90b7e7d0545382ac6,
cosmetic patches\FF5 Character Change 0.3 by Tsushiy\FF5 Character Change 0.3\FF5 Character Change 0.3 (Record Keeper sprites by Tsushiy).ips,PARTIAL,7.5%,7.5%,39765,3002,17186,19577,0,39765,0,0,0,,40969fdaa7779bb36e45314617da580f,"cosmetic patches\FF5 Character Change 0.3 by Tsushiy\FF5 Character Change 0.3\FF5 Character Change 0.3.ips; backups, other ppls patches\FF5 Character Change 0.3 by Tsushiy.zip::FF5 Character Change 0.3/FF5 Character Change 0.3.ips"
cosmetic patches\FFV Sprite Touch-ups v103 by ChickenKnife.ips,PARTIAL,89.6%,91.1%,452,405,8,39,78,530,0,0,0,,97d57ec3353729c02c80718bd60999de,
cosmetic patches\FFV-DressCode-release6\Final.Fantasy.V.Dress.Code by Cubear.ips,PARTIAL,28.9%,46.5%,158564,45794,16689,96081,52120,210684,0,210660,0,,95a9697ee962379011cdafcf2b66fb0d,
cosmetic patches\Final Fantasy V vanilla field sprites.ips,ABSENT,1.7%,18.2%,646,11,532,103,130,776,0,0,-512,,3b1917b5cfec7b88248d5cf219a1be72,
cosmetic patches\Final_Fantasy_V_Dress_Code beta (Cubear).ips,PARTIAL,28.7%,46.4%,158518,45549,16700,96269,52186,210704,0,210680,0,,6e9ee76eb34e53064ddd38f49cacfb3d,
FFV inu patches (2008 - 2010)\base\ff5_core-1.6.ips,PARTIAL,30.7%,32.9%,1400,430,970,0,46,1446,0,0,0,,84de6ff083df8e89f8431b461d3e977a,
FFV inu patches (2008 - 2010)\base\ff5_core-1.7.ips,PARTIAL,27.0%,29.2%,1594,430,1164,0,50,1644,0,0,0,,7f48ff460980b0c8e175ea19dec2fb4e,FFV inu patches (2008 - 2010)\uninstall\anti_ff5_core-1.7.ips
FFV inu patches (2008 - 2010)\base\ff5_ext-1.2.ips,PARTIAL,12.3%,14.7%,610,75,506,29,17,627,0,0,0,,8b17fc6659c9fabc75ef1aff5e2a8419,
FFV inu patches (2008 - 2010)\bugfixes\ff5_atomos_wormhole.ips,ABSENT,0.0%,0.0%,7,0,7,0,0,7,0,0,0,,3eb55e8ccc9f5207dec16b8c0a4144ed,
FFV inu patches (2008 - 2010)\bugfixes\ff5_auto_jump.ips,APPLIED,100.0%,100.0%,30,30,0,0,1,31,0,0,0,,b8c69bcded639aa2dc9888c4252082ef,FFV inu patches (2008 - 2010)\improve\tactical Berserk\add these after\ff5_auto_jump.ips
FFV inu patches (2008 - 2010)\bugfixes\ff5_berserk_jump.ips,PARTIAL,79.6%,80.4%,49,39,0,10,2,51,0,0,0,,f1e81ab7216bc3e721ee52399d9f12d3,FFV inu patches (2008 - 2010)\improve\tactical Berserk\add these after\ff5_berserk_jump.ips
FFV inu patches (2008 - 2010)\bugfixes\ff5_butz_blue_mage_gfx.ips,PARTIAL,77.0%,78.1%,61,47,1,13,3,64,0,0,0,,7ef2df5111c64b5a90c02e163bbb181c,
FFV inu patches (2008 - 2010)\bugfixes\ff5_check.ips,APPLIED,100.0%,100.0%,1,1,0,0,0,1,0,0,0,,0677a2fc81995a2cffa41fef43f2cb24,
FFV inu patches (2008 - 2010)\bugfixes\ff5_chemist_ending.ips,ABSENT,0.0%,0.0%,3,0,3,0,0,3,0,0,0,,09ba564f0e6ede5428a2b0bc0dc20157,
FFV inu patches (2008 - 2010)\bugfixes\ff5_condemned.ips,ABSENT,0.0%,2.5%,79,0,79,0,2,81,0,0,0,,b7bf6d45183ac7171f81351ce35977dd,
FFV inu patches (2008 - 2010)\bugfixes\ff5_counter.ips,ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,b33778aa804d42e6d396cc84ca8dacfe,
FFV inu patches (2008 - 2010)\bugfixes\ff5_damage_overflow.ips,ABSENT,0.0%,0.0%,26,0,26,0,0,26,0,0,0,,ec488f0fc08507bce38342c87ceac10b,
FFV inu patches (2008 - 2010)\bugfixes\ff5_damage_overflow_mp.ips,ABSENT,0.0%,0.0%,72,0,72,0,0,72,0,0,0,,585e69e66ed629a098106674b9074eef,
FFV inu patches (2008 - 2010)\bugfixes\ff5_darkbow.ips,ABSENT,0.0%,0.0%,7,0,7,0,0,7,0,0,0,,605728f66466a21f1faca71bfd264679,
FFV inu patches (2008 - 2010)\bugfixes\ff5_dead_aegis_shield.ips,ABSENT,0.0%,4.2%,23,0,23,0,1,24,0,0,0,,ca43c6112baf97342766064fa561daa2,
FFV inu patches (2008 - 2010)\bugfixes\ff5_equip_change.ips,APPLIED,100.0%,100.0%,262,262,0,0,21,283,0,0,0,,5393bbfa5dd5a306745d8056267df316,FFV inu patches (2008 - 2010)\improve\ff5_equip_change.ips
FFV inu patches (2008 - 2010)\bugfixes\ff5_escape.ips,ABSENT,0.0%,0.0%,5,0,5,0,0,5,0,0,0,,65b5215d4d33bb9478f9784cdce673c6,
FFV inu patches (2008 - 2010)\bugfixes\ff5_evade_animation.ips,ABSENT,0.0%,3.4%,85,0,85,0,3,88,0,0,0,,587107649e078ba6bf5682d6e61d1d48,
FFV inu patches (2008 - 2010)\bugfixes\ff5_evade_overflow.ips,ABSENT,0.0%,4.9%,58,0,58,0,3,61,0,0,0,,cdf05ed8a4255cb09f1f6764267111af,
FFV inu patches (2008 - 2010)\bugfixes\ff5_gaiahammer.ips,ABSENT,0.0%,14.3%,12,0,12,0,2,14,0,0,-512,,0d2975527725cfbefeb62dcf4030a8f2,
FFV inu patches (2008 - 2010)\bugfixes\ff5_giantdrink_enemy.ips,ABSENT,0.0%,5.1%,37,0,37,0,2,39,0,0,-512,,d1b46964eb9837df95ede1b62c0408e9,
FFV inu patches (2008 - 2010)\bugfixes\ff5_golem.ips,ABSENT,0.0%,11.1%,8,0,8,0,1,9,0,0,0,,6efd96c3928832c3a2e1c69b9c3bddc3,
FFV inu patches (2008 - 2010)\bugfixes\ff5_hide_escape.ips,ABSENT,0.0%,2.0%,50,0,50,0,1,51,0,0,0,,c1c69d4070cc777ad601a2f7301f8790,
FFV inu patches (2008 - 2010)\bugfixes\ff5_hide_reveal.ips,ABSENT,0.0%,5.3%,18,0,18,0,1,19,0,0,0,,bea81a71d601da3530bf4f888cfea433,
FFV inu patches (2008 - 2010)\bugfixes\ff5_hp_leak_counter.ips,ABSENT,0.0%,15.4%,22,0,22,0,4,26,0,0,0,,d24e87838b65a7720fefa4ca5f0becb6,
FFV inu patches (2008 - 2010)\bugfixes\ff5_hp_leak_down.ips,ABSENT,0.0%,0.0%,6,0,6,0,0,6,0,0,0,,73ea2509d03f53d0897364dd2bfe1423,
FFV inu patches (2008 - 2010)\bugfixes\ff5_ineffective.ips,ABSENT,0.0%,0.0%,13,0,13,0,0,13,0,0,0,,1ddf035042fedda142b8bb125d87ca03,
FFV inu patches (2008 - 2010)\bugfixes\ff5_infinite_items.ips,ABSENT,0.0%,0.0%,1,0,1,0,0,1,0,0,0,,e468197c2695598fc3e4744efa5b4c37,
FFV inu patches (2008 - 2010)\bugfixes\ff5_item_delay.ips,ABSENT,0.0%,0.0%,17,0,17,0,0,17,0,0,0,,ac0d2f3827d12051bc11ef6473adf2c3,
FFV inu patches (2008 - 2010)\bugfixes\ff5_item_evade.ips,ABSENT,0.0%,0.0%,11,0,11,0,0,11,0,0,0,,9bfb2a9f12b9997c83f531ed68cbef0a,
FFV inu patches (2008 - 2010)\bugfixes\ff5_item_stat_bonus.ips,ABSENT,0.0%,0.0%,40,0,40,0,0,40,0,0,0,,106d1d56de25b8a49ed58e9397ab821a,
FFV inu patches (2008 - 2010)\bugfixes\ff5_item_transform.ips,ABSENT,0.0%,0.0%,11,0,11,0,0,11,0,0,0,,c98ed43414ba953b61c441e43dfd7396,
FFV inu patches (2008 - 2010)\bugfixes\ff5_item_weight.ips,ABSENT,0.0%,31.6%,13,0,13,0,6,19,0,0,0,,63f247f185d380c83f08bbec9d7617d0,
FFV inu patches (2008 - 2010)\bugfixes\ff5_learning.ips,ABSENT,0.0%,5.5%,188,0,188,0,11,199,0,0,0,,18895a38f215aa06edf4c7740a21fb05,
FFV inu patches (2008 - 2010)\bugfixes\ff5_magical_weapon.ips,ABSENT,0.0%,7.1%,13,0,13,0,1,14,0,0,0,,9967def12557467157ecb932a3ef1581,
FFV inu patches (2008 - 2010)\bugfixes\ff5_magicshell.ips,ABSENT,0.0%,5.4%,141,0,141,0,8,149,0,0,0,,b5dabf66237042f34874c872b2cb0b55,
FFV inu patches (2008 - 2010)\bugfixes\ff5_magicshell_fast.ips,ABSENT,0.0%,4.3%,88,0,88,0,4,92,0,0,0,,26cfdc63a9d4cbb0ae6a1e615b5c9601,
FFV inu patches (2008 - 2010)\bugfixes\ff5_magicshell_group.ips,ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,71fbb4ec0dc2ffbd35ecab488ac94ac7,
FFV inu patches (2008 - 2010)\bugfixes\ff5_magicshell_reflect.ips,ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,d587d9250195d72a42c9596fee1fc99d,
FFV inu patches (2008 - 2010)\bugfixes\ff5_mimic_blank.ips,ABSENT,0.0%,0.0%,5,0,5,0,0,5,0,0,0,,0acba607cc08791a88326dcab6ccabf1,
FFV inu patches (2008 - 2010)\bugfixes\ff5_mimic_meteor.ips,ABSENT,0.0%,4.2%,113,0,113,0,5,118,0,0,0,,75ade37f7bf1e2f3b5e4fae588f281fc,
FFV inu patches (2008 - 2010)\bugfixes\ff5_mimic_weapon.ips,ABSENT,0.0%,0.0%,18,0,18,0,0,18,0,0,0,,f1110e07c31a4d9d89bf5e061c00d9d4,
FFV inu patches (2008 - 2010)\bugfixes\ff5_mini_and_toad.ips,ABSENT,0.0%,0.0%,6,0,6,0,0,6,0,0,0,,ca52868c2d8a3d0068ba1ed192883d58,
FFV inu patches (2008 - 2010)\bugfixes\ff5_multi_se.ips,ABSENT,0.0%,0.0%,1,0,1,0,0,1,0,0,0,,12d1d78821c0f9e245c7e1d11f13c21c,
FFV inu patches (2008 - 2010)\bugfixes\ff5_old.ips,ABSENT,0.0%,8.3%,55,0,55,0,5,60,0,0,0,,5cd93763545eb2f420a5efa28d0b8fad,
FFV inu patches (2008 - 2010)\bugfixes\ff5_old_timer.ips,ABSENT,0.0%,8.3%,11,0,11,0,1,12,0,0,-512,,30d3fa8f21fe08cb6808569259ee3fcb,
FFV inu patches (2008 - 2010)\bugfixes\ff5_optimize.ips,APPLIED,100.0%,100.0%,319,319,0,0,15,334,0,0,0,,977ecaf184c4e1ba347c3616e4214fcd,FFV inu patches (2008 - 2010)\improve\ff5_optimize.ips
FFV inu patches (2008 - 2010)\bugfixes\ff5_possess.ips,ABSENT,0.0%,0.0%,1,0,1,0,0,1,0,0,0,,c318937e40f909fdfcb7e9c21da0f882,
FFV inu patches (2008 - 2010)\bugfixes\ff5_powerdrink.ips,ABSENT,0.0%,1.8%,54,0,54,0,1,55,0,0,0,,8536c615beb9c3747d348b4e4a0832a7,
FFV inu patches (2008 - 2010)\bugfixes\ff5_react_against_all_target.ips,ABSENT,0.0%,5.6%,17,0,17,0,1,18,0,0,-512,,1b7bd8705642c79b097f25eef9863ffc,
FFV inu patches (2008 - 2010)\bugfixes\ff5_react_against_reflect.ips,ABSENT,0.0%,3.8%,50,0,50,0,2,52,0,0,0,,a4e8b1aac17886c2a7a06a56130123a3,
FFV inu patches (2008 - 2010)\bugfixes\ff5_reapply_item_element.ips,ABSENT,0.0%,8.7%,95,0,95,0,9,104,0,0,0,,e6c94920051c7252f9793abb92af1750,
FFV inu patches (2008 - 2010)\bugfixes\ff5_reapply_item_immunity.ips,ABSENT,0.0%,0.0%,9,0,9,0,0,9,0,0,0,,09683a0404aeb1d4715a42256c62d3f0,
FFV inu patches (2008 - 2010)\bugfixes\ff5_reapply_item_state.ips,ABSENT,0.0%,1.4%,70,0,70,0,1,71,0,0,0,,f7906ff347fedb966932cb0b0c93761a,
FFV inu patches (2008 - 2010)\bugfixes\ff5_reequip.ips,APPLIED,99.5%,99.6%,440,438,1,1,55,495,0,0,0,,021932d6f557f9d3394818f5f4dc7887,
FFV inu patches (2008 - 2010)\bugfixes\ff5_remedy_petrified.ips,APPLIED,100.0%,100.0%,1,1,0,0,0,1,0,0,0,,ac94007704e7af83416413238a6c5786,
FFV inu patches (2008 - 2010)\bugfixes\ff5_remember.ips,ABSENT,0.0%,0.0%,1,0,1,0,0,1,0,0,0,,d174dd02561a69071c2282159c861257,
FFV inu patches (2008 - 2010)\bugfixes\ff5_return.ips,ABSENT,0.0%,4.9%,58,0,58,0,3,61,0,0,0,,950afbf60d47500eb7bcb275732ac45a,
FFV inu patches (2008 - 2010)\bugfixes\ff5_return_se.ips,ABSENT,0.0%,0.0%,1,0,1,0,0,1,0,0,0,,dc920382dfb38ad7c2da323740da7f41,
FFV inu patches (2008 - 2010)\bugfixes\ff5_roulette.ips,ABSENT,0.0%,3.8%,101,0,101,0,4,105,0,0,0,,d2ba8515330f78aec3fd63b89781a332,
FFV inu patches (2008 - 2010)\bugfixes\ff5_sandworm.ips,ABSENT,0.0%,28.0%,18,0,18,0,7,25,0,0,0,,e91a9b20f3a02bc95ce84ea22889a850,
FFV inu patches (2008 - 2010)\bugfixes\ff5_song.ips,ABSENT,0.0%,11.8%,45,0,45,0,6,51,0,0,0,,b9d355ce4aa7ce3255db681572ecd0ad,
FFV inu patches (2008 - 2010)\bugfixes\ff5_specialty.ips,ABSENT,0.0%,4.8%,119,0,119,0,6,125,0,0,0,,8bcebe6e3b89f70ec5c7379a7e5e2290,
FFV inu patches (2008 - 2010)\bugfixes\ff5_spellblade_osmose.ips,ABSENT,0.0%,0.0%,20,0,20,0,0,20,0,0,0,,bb7c305b655c2ef409d106eea62c522d,
FFV inu patches (2008 - 2010)\bugfixes\ff5_spellblade_osmose_for_ff5_damage_overflow_mp.ips,ABSENT,0.0%,0.0%,20,0,20,0,0,20,0,0,0,,e34d50405be705c4ba638013dc0c60bf,
FFV inu patches (2008 - 2010)\bugfixes\ff5_stuck_bug.ips,ABSENT,0.0%,3.0%,96,0,92,4,3,99,0,0,-512,,4a78732b7cce165c55cfb625d5c5578e,
FFV inu patches (2008 - 2010)\bugfixes\ff5_stuck_teleport.ips,ABSENT,0.0%,7.1%,13,0,13,0,1,14,0,0,-512,,392250d759233f4c234ac4a0ea6b7a59,
FFV inu patches (2008 - 2010)\bugfixes\ff5_swdslap.ips,APPLIED,100.0%,100.0%,31,31,0,0,2,33,0,0,0,,fbfc59901789718e81b7bbfb7c6b2d8b,
FFV inu patches (2008 - 2010)\bugfixes\ff5_target_meteor.ips,ABSENT,0.0%,0.0%,2,0,2,0,0,2,0,0,0,,87c1635d32e3cb582359a4fe0092a112,
